hypothesis,F_statistic,p_value,eta_squared,reg_slope,reg_p,reg_r2,t,p,sig_bonferroni,F_interaction,p_interaction,slope,intercept,r_squared
H1,0.19642967858471777,0.8217657678440499,0.0013210113989240442,0.3500958215292207,0.7358160536740487,0.00038257551920200763,,,,,,,,
H2_V-Low,,,,,,,-0.9225003138004078,0.3573946667007144,False,,,,,
H2_V-Mid,,,,,,,-0.9874695252214013,0.3246280865087142,False,,,,,
H2_V-High,,,,,,,-0.3826155949415828,0.7024188084724864,False,,,,,
H3,,,,,,,,,,0.0905345052602437,0.9134554167304003,,,
H4,,2.502902525152005e-87,,,,,,,,,,-0.6605377725343816,1.0235976569630094,0.7325179058071064
