RHO_AGREE_THRESHOLD,SIGMA_THETA,K_SIGNS,rdiff_vhigh,H2_vhigh_t,H2_vhigh_p,H1_F,H1_p,neg_rate,H4_slope,H4_r2
0.7,0.5,3,-1.0141192770734726,-0.491167678419729,0.6252407031706599,0.6008954202119345,0.5505800290189355,0.4127777777777777,-0.7666460544852017,0.7071433612466822
0.9,0.5,10,-1.152085253716919,-0.5522423690765629,0.5829252350376236,1.4181479315068586,0.24770375480921142,0.6365,-0.7647580371655359,0.7400882830043939
0.5,0.3,10,-1.2966550317245868,-0.5994237630427258,0.5513263952795293,0.8506961505850903,0.43063912923994285,0.32933333333333337,-0.7915573938591258,0.7379454676126637
0.3,0.3,3,-1.3367074820118852,-0.5995954714829369,0.55145200308789,0.03105524921479112,0.9694327531553756,0.21922222222222223,-0.7537350951269014,0.5660373923006646
0.5,0.5,10,-1.3537321871933443,-0.6325368358186888,0.5295270239518902,1.4181479315068586,0.24770375480921142,0.30399999999999994,-0.7636429940774286,0.7330504817915071
0.7,0.3,10,-1.3990830930826341,-0.6391491269717039,0.5253240218017088,0.8506961505850903,0.43063912923994285,0.47766666666666663,-0.7949223816795835,0.7311226979996557
0.7,0.3,3,-1.430656272781757,-0.649092482997461,0.5192795239340475,0.03105524921479112,0.9694327531553756,0.42322222222222217,-0.759241863782267,0.5584547527195752
0.9,0.5,3,-1.4532841528626932,-0.6932515651132161,0.49099932088204656,0.6008954202119345,0.5505800290189355,0.6306666666666667,-0.749606359628365,0.6857220606505091
0.9,0.3,5,-1.4813891896863591,-0.5381437916323089,0.5925406223036135,0.8541780625802802,0.42917100874154224,0.6218333333333333,-0.7646441051396722,0.7004417510439301
0.9,0.3,3,-2.2287547867512156,-0.9461342504326321,0.3482274585182742,0.03105524921479112,0.9694327531553756,0.6602777777777779,-0.7483238341627579,0.5445222604121436
0.9,0.3,10,-2.281562351119666,-1.0682523981821774,0.2900867606302516,0.8506961505850903,0.43063912923994285,0.6301111111111111,-0.8013315932976317,0.733040364859724
0.9,0.1,3,-2.3463139181276205,-1.0148134501803003,0.3144150347379974,1.4565820979164625,0.23865731160226208,0.6105,-0.7367748585730275,0.5680200548234179
0.5,0.1,3,-2.364241922790402,-1.0649289333566614,0.2913304555584993,1.4565820979164625,0.23865731160226208,0.2926111111111111,-0.7253692232146476,0.5787011996434198
0.5,0.3,5,-2.4849839102441234,-0.987124842904342,0.3277680619249407,0.8541780625802802,0.42917100874154224,0.3144444444444444,-0.7869497912847752,0.7279951004143664
0.3,0.3,10,-2.501589485319597,-1.2082671005657177,0.23234654039528413,0.8506961505850903,0.43063912923994285,0.21522222222222226,-0.7976302404329422,0.7430019609810249
0.3,0.5,5,-2.7175683771610473,-1.0959825061655621,0.2778089795708188,0.3223141695989567,0.7253318979222144,0.2384444444444444,-0.7938193870006726,0.6985999663105189
0.3,0.1,3,-2.7221138538343013,-1.2265757700871105,0.22494875612259127,1.4565820979164625,0.23865731160226208,0.22677777777777777,-0.7843857812143148,0.6098904528803153
0.7,0.1,3,-3.0120676596319242,-1.4008421626988208,0.1666583982516561,1.4565820979164625,0.23865731160226208,0.4107777777777777,-0.7335230367092208,0.5716857654065913
0.7,0.3,5,-3.327903059620354,-1.332889360675204,0.18792092194565577,0.8541780625802802,0.42917100874154224,0.41055555555555556,-0.7578718705521831,0.6932449733260394
0.5,0.5,5,-3.5864963157341396,-1.3796937249736567,0.1730275534212494,0.3223141695989567,0.7253318979222144,0.32894444444444443,-0.7950738116530441,0.701428409153311
0.3,0.3,5,-3.6455749483172735,-1.4594747383545135,0.14997329574668306,0.8541780625802802,0.42917100874154224,0.21288888888888888,-0.7953381759862783,0.7390929721482118
0.9,0.5,5,-3.9354905163885725,-1.6014913374865372,0.11498427001537802,0.3223141695989567,0.7253318979222144,0.6229444444444444,-0.782280081463855,0.7291670597333177
0.7,0.5,5,-3.9545347012609913,-1.5419334376719664,0.12861728005679807,0.3223141695989567,0.7253318979222144,0.4261666666666667,-0.7825828168181742,0.699302414490857
