condition,games,win_rate,survival_rate,mean_return,mean_regret,expert_match_rate,minority_adoption_rate,conflict_resolution_quality,plan_revision_quality,plan_revision_improved_rate,agreement_rate_by_opportunity,fallback_rate,discussion_diversity,route_choice_accuracy,route_switch_quality,premature_launch_rate,rescue_wait_failure_rate,cross_role_evidence_use,unanswered_question_rate,question_response_latency,forced_decision_with_open_question_rate,question_answer_rate,duplicate_question_rate,max_consecutive_duplicate_questions,invalid_discussion_output_rate,silent_unanswered_question_count,v_proposal_rate,v_proposal_rate_numerator,v_proposal_rate_denominator,v_star_acceptance_rate,v_star_acceptance_rate_numerator,v_star_acceptance_rate_denominator,vote_revision_rate,vote_revision_rate_numerator,vote_revision_rate_denominator,v_star_action_consistency,v_star_action_consistency_numerator,v_star_action_consistency_denominator,unresolved_v_rate,unresolved_v_rate_numerator,unresolved_v_rate_denominator,missing_v_proposal_after_required_prompt_rate,missing_v_proposal_after_required_prompt_rate_numerator,missing_v_proposal_after_required_prompt_rate_denominator,v_schema_completeness_rate,v_schema_completeness_rate_numerator,v_schema_completeness_rate_denominator,v_alignment_distance_before,v_alignment_distance_before_n,v_alignment_distance_after,v_alignment_distance_after_n,v_alignment_gain,v_alignment_gain_n
control,100,0.36,0.49,423.25,152.2524142156863,0.3553921568627451,0.0,149.9242489082969,0.492,0.396,0.27134146341463417,0.5637254901960784,3.0,0.7205479452054795,0.0392156862745098,1.0,0.28846153846153844,0.4632352941176471,0.4730392156862745,1.8571428571428572,0.4730392156862745,0.010380622837370242,0.5882352941176471,112,0.7735568760611206,0,nan,0,0,nan,0,0,0.9669117647058824,789,816,nan,0,0,nan,0,0,nan,0,0,1.0,408,408,0.0,408,0.0,408,0.0,408
consulting,100,0.3,0.44,369.65,198.17538888888882,0.34541062801932365,0.0,222.54174074074072,0.48616600790513836,0.34782608695652173,0.3409436834094368,0.45893719806763283,4.0,0.7678100263852242,0.1111111111111111,nan,0.3448275862068966,0.5289855072463768,0.2608695652173913,nan,0.2608695652173913,0.0,0.09166666666666666,2,0.9219467401285583,0,nan,0,0,nan,0,0,0.9842995169082126,815,828,nan,0,0,nan,0,0,nan,0,0,1.0,414,414,0.0,414,0.0,414,0.0,414
hivc_d,100,0.36,0.42,419.35,174.89170544554457,0.3811881188118812,0.0,163.94092523364483,0.4959016393442623,0.3073770491803279,0.2773722627737226,0.5297029702970297,3.0,0.7783783783783784,0.07317073170731707,nan,0.3770491803278688,0.5371287128712872,0.0297029702970297,nan,0.0297029702970297,0.0,0.2,2,0.9319444444444445,0,nan,0,0,0.0,0,6,0.9913366336633663,801,808,nan,0,0,nan,0,0,nan,0,0,1.0,404,404,0.0,404,0.0,404,0.0,404
