seed,turn,event,state_before,action,action_label,best_action,acceptable_actions,regret,q_values,state_after,outcome,terminal_score
7,0,leak_surge,"{""communication"": 0, ""current_event"": ""leak_surge"", ""done"": false, ""flooding"": 1, ""hull_damage"": 2, ""morale"": 80, ""outcome"": ""running"", ""oxygen"": 10, ""power"": 8, ""severe_risk_count"": 0, ""turn"": 0}",D,浸水区画を封鎖,A,A,1275.0,"{""A"": 1465.0, ""B"": 1113.75, ""C"": 1376.25, ""D"": 190.0}","{""communication"": 0, ""current_event"": ""crew_panic"", ""done"": false, ""flooding"": 0, ""hull_damage"": 2, ""morale"": 80, ""outcome"": ""running"", ""oxygen"": 8, ""power"": 7, ""severe_risk_count"": 0, ""turn"": 1}",running,610
7,1,crew_panic,"{""communication"": 0, ""current_event"": ""crew_panic"", ""done"": false, ""flooding"": 0, ""hull_damage"": 2, ""morale"": 80, ""outcome"": ""running"", ""oxygen"": 8, ""power"": 7, ""severe_risk_count"": 0, ""turn"": 1}",C,通信アンテナを修理,C,C,0.0,"{""A"": 981.25, ""B"": 1081.25, ""C"": 1357.5, ""D"": 431.25}","{""communication"": 1, ""current_event"": ""none"", ""done"": false, ""flooding"": 0, ""hull_damage"": 2, ""morale"": 70, ""outcome"": ""running"", ""oxygen"": 7, ""power"": 5, ""severe_risk_count"": 0, ""turn"": 2}",running,530
7,2,none,"{""communication"": 1, ""current_event"": ""none"", ""done"": false, ""flooding"": 0, ""hull_damage"": 2, ""morale"": 70, ""outcome"": ""running"", ""oxygen"": 7, ""power"": 5, ""severe_risk_count"": 0, ""turn"": 2}",A,酸素供給を安定化,B,B,65.0,"{""A"": 951.25, ""B"": 1016.25, ""C"": 956.25, ""D"": 452.5}","{""communication"": 1, ""current_event"": ""signal_window"", ""done"": false, ""flooding"": 0, ""hull_damage"": 2, ""morale"": 72, ""outcome"": ""running"", ""oxygen"": 9, ""power"": 3, ""severe_risk_count"": 0, ""turn"": 3}",running,550
7,3,signal_window,"{""communication"": 1, ""current_event"": ""signal_window"", ""done"": false, ""flooding"": 0, ""hull_damage"": 2, ""morale"": 72, ""outcome"": ""running"", ""oxygen"": 9, ""power"": 3, ""severe_risk_count"": 0, ""turn"": 3}",B,発電系を修理,C,C,791.25,"{""A"": 485.0, ""B"": 676.25, ""C"": 1467.5, ""D"": 308.75}","{""communication"": 1, ""current_event"": ""signal_window"", ""done"": false, ""flooding"": 0, ""hull_damage"": 3, ""morale"": 70, ""outcome"": ""running"", ""oxygen"": 8, ""power"": 5, ""severe_risk_count"": 1, ""turn"": 4}",running,435
7,4,signal_window,"{""communication"": 1, ""current_event"": ""signal_window"", ""done"": false, ""flooding"": 0, ""hull_damage"": 3, ""morale"": 70, ""outcome"": ""running"", ""oxygen"": 8, ""power"": 5, ""severe_risk_count"": 1, ""turn"": 4}",A,酸素供給を安定化,C,C,976.25,"{""A"": 455.0, ""B"": 385.0, ""C"": 1431.25, ""D"": 345.0}","{""communication"": 1, ""current_event"": ""pressure_spike"", ""done"": true, ""flooding"": 0, ""hull_damage"": 3, ""morale"": 72, ""outcome"": ""survived_timeout"", ""oxygen"": 10, ""power"": 3, ""severe_risk_count"": 1, ""turn"": 5}",survived_timeout,455
