seed,turn,event,state_before,action,action_label,best_action,acceptable_actions,regret,q_values,state_after,outcome,terminal_score
7,0,leak_surge,"{""communication"": 0, ""current_event"": ""leak_surge"", ""done"": false, ""flooding"": 1, ""hull_damage"": 2, ""morale"": 80, ""outcome"": ""running"", ""oxygen"": 10, ""power"": 8, ""severe_risk_count"": 0, ""turn"": 0}",B,発電系を修理,A,A,351.25,"{""A"": 1465.0, ""B"": 1113.75, ""C"": 1376.25, ""D"": 190.0}","{""communication"": 0, ""current_event"": ""signal_window"", ""done"": false, ""flooding"": 2, ""hull_damage"": 2, ""morale"": 78, ""outcome"": ""running"", ""oxygen"": 9, ""power"": 10, ""severe_risk_count"": 0, ""turn"": 1}",running,550
7,1,signal_window,"{""communication"": 0, ""current_event"": ""signal_window"", ""done"": false, ""flooding"": 2, ""hull_damage"": 2, ""morale"": 78, ""outcome"": ""running"", ""oxygen"": 9, ""power"": 10, ""severe_risk_count"": 0, ""turn"": 1}",C,通信アンテナを修理,C,C,0.0,"{""A"": 977.5, ""B"": 1093.75, ""C"": 1503.75, ""D"": 848.75}","{""communication"": 2, ""current_event"": ""none"", ""done"": false, ""flooding"": 3, ""hull_damage"": 2, ""morale"": 78, ""outcome"": ""running"", ""oxygen"": 8, ""power"": 8, ""severe_risk_count"": 1, ""turn"": 2}",running,475
7,2,none,"{""communication"": 2, ""current_event"": ""none"", ""done"": false, ""flooding"": 3, ""hull_damage"": 2, ""morale"": 78, ""outcome"": ""running"", ""oxygen"": 8, ""power"": 8, ""severe_risk_count"": 1, ""turn"": 2}",C,通信アンテナを修理,C,C,0.0,"{""A"": 760.0, ""B"": 1303.75, ""C"": 1370.0, ""D"": 930.0}","{""communication"": 3, ""current_event"": ""signal_window"", ""done"": true, ""flooding"": 4, ""hull_damage"": 2, ""morale"": 72, ""outcome"": ""win"", ""oxygen"": 7, ""power"": 6, ""severe_risk_count"": 3, ""turn"": 3}",win,1295
